,CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,LOCALIDAD INEGI, NOMBRE LOCALIDAD,COLONIA,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL, 
11272,14DES0028Z,MATUTINO,NEZAHUALCOYOTL,BUGAMBILIAS 1,1,ZAPOTILTIC,0,0,121,ZAPOTILTIC,FEDERALIZADO,SECUNDARIA,GENERAL,0.0419,0.07,0.0525,0.8263,
11273,14DES0028Z,VESPERTINO,NEZAHUALCOYOTL,BUGAMBILIAS 1,1,ZAPOTILTIC,0,0,121,ZAPOTILTIC,FEDERALIZADO,SECUNDARIA,GENERAL,0.0496,0.0696,0.0609,0.82,
11274,14DES0029Y,MATUTINO,OCTAVIO PAZ,5 DE MAYO,1,TLAQUEPAQUE,9066,COLONIAL TLAQUEPAQUE,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0175,0.0198,0.0059,0.8846,
11275,14DES0029Y,VESPERTINO,OCTAVIO PAZ,5 DE MAYO,1,TLAQUEPAQUE,9066,COLONIAL TLAQUEPAQUE,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0329,0.016,0.016,0.8667,
11276,14DES0030N,MATUTINO,IGNACIO M ALTAMIRANO,AVENIDA LICENCIADO EFRAIN GONZALEZ LUNA 97,1,OCOTLAN,0,0,63,OCOTLAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0325,0,0,0.8989,
11277,14DES0030N,VESPERTINO,IGNACIO M ALTAMIRANO,AVENIDA LICENCIADO EFRAIN GONZALEZ LUNA 97,1,OCOTLAN,0,0,63,OCOTLAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0499,0.0028,0.0028,0.8296,
11278,14DES0031M,VESPERTINO,MA GUADALUPE ESCOTO MAGA‹A,20 DE NOVIEMBRE 427,1,ATOTONILCO EL ALTO,0,0,13,ATOTONILCO EL ALTO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0537,0.0284,0.0269,0.7971,
11279,14DES0031M,MATUTINO,MA GUADALUPE ESCOTO MAGA‹A,20 DE NOVIEMBRE 427,1,ATOTONILCO EL ALTO,0,0,13,ATOTONILCO EL ALTO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0352,0.0135,0.0121,0.875,
11280,14DES0032L,MATUTINO,JAIME TORRES BODET,LEONA VICARIO 306,1,EL GRULLO,0,0,37,EL GRULLO,FEDERALIZADO,SECUNDARIA,GENERAL,0,0.0048,0,0.903,
11281,14DES0032L,VESPERTINO,JAIME TORRES BODET,LEONA VICARIO 306,1,EL GRULLO,0,0,37,EL GRULLO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0045,0,0,0.7253,
11282,14DES0033K,MATUTINO,MANUEL M DIEGUEZ,1 DE MAYO 35,1,TALA,9019,OBRERA,83,TALA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0241,0,0,0.93,
11283,14DES0033K,VESPERTINO,MANUEL M DIEGUEZ,1 DE MAYO 35,1,TALA,9019,OBRERA,83,TALA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0318,0,0,0.8629,
11284,14DES0034J,MATUTINO,CENOBIO SAUZA,LERDO DE TEJADA 68,1,TEQUILA,0,0,94,TEQUILA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0233,0,0,0.9099,
11285,14DES0034J,VESPERTINO,CENOBIO SAUZA,LERDO DE TEJADA 68,1,TEQUILA,0,0,94,TEQUILA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0703,0,0,0.745,
11286,14DES0035I,VESPERTINO,MOISES SAENZ,ANGELA PERALTA 120,1,ZAPOTLANEJO,0,0,124,ZAPOTLANEJO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0355,0.0851,0.0598,0.7372,
11287,14DES0035I,MATUTINO,MOISES SAENZ,ANGELA PERALTA 120,1,ZAPOTLANEJO,0,0,124,ZAPOTLANEJO,FEDERALIZADO,SECUNDARIA,GENERAL,0.047,0.0816,0.0569,0.896,
11288,14DES0036H,MATUTINO,ARTURO ROOSENBLUETH,RIO VERDE 222,1,LA BARCA,9020,LOMA BONITA,18,LA BARCA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0685,0.0208,0.0176,0.7163,
11289,14DES0037G,MATUTINO,JOSE VASCONCELOS CALDERON,JOSE VASCONCELOS 83,1,CIUDAD GUZMAN,0,0,23,ZAPOTLAN EL GRANDE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0286,0.0937,0.0535,0.8476,
11290,14DES0037G,VESPERTINO,JOSE VASCONCELOS CALDERON,JOSE VASCONCELOS 83,1,CIUDAD GUZMAN,0,0,23,ZAPOTLAN EL GRANDE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0695,0.0572,0.0366,0.6798,
11291,14DES0038F,VESPERTINO,RAMIRO FIERROS CONTRERAS,MAGISTERIO 5,1,IXTLAHUACAN DE LOS MEMBRILLOS,9000,IXTLAHUACAN DE LOS MEMBRILLOS (ZONA CENTRO),44,IXTLAHUACAN DE LOS MEMBRILLOS,FEDERALIZADO,SECUNDARIA,GENERAL,0.0282,0.0493,0.0145,0.8163,
11292,14DES0038F,MATUTINO,RAMIRO FIERROS CONTRERAS,MAGISTERIO 5,1,IXTLAHUACAN DE LOS MEMBRILLOS,9000,IXTLAHUACAN DE LOS MEMBRILLOS (ZONA CENTRO),44,IXTLAHUACAN DE LOS MEMBRILLOS,FEDERALIZADO,SECUNDARIA,GENERAL,0.012,0.0405,0.0162,0.9364,
